time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
31.10198,0.0079,1.02,0.0185,0,0,0
31.10697,0.0079,1.02,0.0185,0,0,0
31.11107,0.0079,1.02,0.0185,0,0,0
31.11497,0.0079,1.02,0.0185,0,0,0
31.11943,0.0079,1.02,0.0185,0,0,0
31.1233,0.0079,1.02,0.0185,0,0,0
31.12774,0.0079,1.02,0.0185,0,0,0
31.13167,0.0079,1.02,0.0185,0,0,0
31.13582,0.0079,1.02,0.0185,0,0,0
31.13961,0.0079,1.02,0.0185,0,0,0
31.14349,0.0079,1.02,0.0185,0,0,0
31.14743,0.0079,1.02,0.0185,0,0,0
31.15142,0.0079,1.02,0.0185,0,0,0
31.1557,0.0079,1.02,0.0185,0,0,0
31.15948,0.0079,1.02,0.0185,0,0,0
31.16352,0.0079,1.02,0.0185,0,0,0
31.16769,0.0079,1.02,0.0185,0,0,0
31.17178,0.0079,1.02,0.0185,0,0,0
31.17574,0.0079,1.02,0.0185,0,0,0
31.17977,0.0079,1.02,0.0185,0,0,0
31.1839,0.0079,1.02,0.0185,0,0,0
31.18835,0.0079,1.02,0.0185,0,0,0
31.19219,0.0079,1.02,0.0185,0,0,0
31.19761,0.0079,1.02,0.0185,0,0,0
31.20199,0.0079,1.02,0.0185,0,0,0
31.20593,0.0079,1.02,0.0185,0,0,0
31.20959,0.0079,1.02,0.0185,0,0,0
31.2134,0.0079,1.02,0.0185,0,0,0
31.21909,0.0079,1.02,0.0185,0,0,0
31.22425,0.0079,1.02,0.0185,0,0,0
31.22935,0.0079,1.02,0.0185,0,0,0
31.23417,0.0079,1.02,0.0185,0,0,0
31.23871,0.0079,1.02,0.0185,0,0,0
31.24304,0.0079,1.02,0.0185,0,0,0
31.24903,0.0079,1.02,0.0185,0,0,0
31.2543,0.0079,1.02,0.0185,0,0,0
31.2585,0.0079,1.02,0.0185,0,0,0
31.26259,0.0079,1.02,0.0185,0,0,0
31.2672,0.0079,1.02,0.0185,0,0,0
31.27114,0.0079,1.02,0.0185,0,0,0
31.27532,0.0079,1.02,0.0185,0,0,0
31.27931,0.0079,1.02,0.0185,0,0,0
31.28348,0.0079,1.02,0.0185,0,0,0
31.28825,0.0079,1.02,0.0185,0,0,0
31.29747,0.0079,1.02,0.0185,0,0,0
31.3018,0.0079,1.02,0.0185,0,0,0
31.30616,0.0079,1.02,0.0185,0,0,0
31.31058,0.0079,1.02,0.0185,0,0,0
31.31463,0.0079,1.02,0.0185,0,0,0
31.31898,0.0079,1.02,0.0185,0,0,0
31.32288,0.0079,1.02,0.0185,0,0,0
31.32713,0.0079,1.02,0.0185,0,0,0
31.332,0.0079,1.02,0.0185,0,0,0
31.33658,0.0079,1.02,0.0196,0,0,0
31.34171,0.0069,1.02,0.0206,0,0,0
31.34677,0.0069,1.02,0.0217,0,0,0
31.35159,0.0058,1.02,0.0217,0,0,0
31.35635,0.0058,1.02,0.0228,0,0,0
31.36141,0.0058,1.02,0.0238,0,0,0
31.36712,0.0058,1.02,0.0249,0,0,0
31.37241,0.0058,1.02,0.0259,0,0,0
31.37716,0.0058,1.02,0.0259,0,0,0
31.38194,0.0058,1.02,0.027,0,0,0
31.38679,0.0058,1.02,0.027,0,0,0
31.39152,0.0058,1.02,0.028,0,0,0
31.39646,0.0058,1.02,0.0291,0,0,0
31.40123,0.0058,1.02,0.0302,0,0,0
31.40665,0.0048,1.02,0.0312,0,0,0
31.41105,0.0048,1.02,0.0323,0,0,0
31.41609,0.0048,1.02,0.0323,0,0,0
31.42087,0.0048,1.02,0.0333,0,0,0
31.42594,0.0048,1.02,0.0354,0,0,0
31.43075,0.0048,1.02,0.0365,0,0,0
31.4368,0.0037,1.02,0.0397,0,0,0
31.44224,0.0037,1.02,0.0418,0,0,0
31.44761,0.0037,1.02,0.0439,0,0,0
31.45292,0.0037,1.02,0.0471,0,0,0
31.45952,0.0037,1.02,0.0513,0,0,0
31.46501,0.0026,1.02,0.0545,0,0,0
31.47139,0.0026,1.02,0.0587,0,0,0
31.47656,0.0016,1.02,0.063,0,0,0
31.48253,0.0016,1.02,0.0683,0,0,0
31.48832,0.0005,1.02,0.0757,0,0,0
31.49342,0.0005,1.02,0.081,0,0,0
31.49858,0.0005,1.02,0.0873,0,0,0
31.5042,-0.0005,1.02,0.0958,0,0,0
31.51013,-0.0016,1.02,0.1063,0,0,0
31.51561,-0.0016,1.02,0.1138,0,0,0
31.52152,-0.0016,1.02,0.1254,0,0,0
31.52653,-0.0016,1.02,0.1339,0,0,0
31.53157,-0.0026,1.02,0.1455,0,0,0
31.53721,-0.0026,1.02,0.1571,0,0,0
31.54242,-0.0026,1.02,0.1688,0,0,0
31.54919,-0.0026,1.02,0.1847,0,0,0
31.55451,-0.0026,1.02,0.1952,0,0,0
31.55931,-0.0026,1.02,0.2069,0,0,0
31.56536,-0.0026,1.02,0.2206,0,0,0
31.5714,-0.0026,1.02,0.2333,0,0,0
31.57664,-0.0037,1.02,0.2439,0,0,0
