time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
25.10716,0.0005,1.02,-0.0026,0,0,0
25.11262,0.0005,1.02,-0.0026,0,0,0
25.11653,0.0005,1.02,-0.0026,0,0,0
25.12048,0.0005,1.02,-0.0026,0,0,0
25.12652,0.0005,1.02,-0.0026,0,0,0
25.13161,0.0005,1.02,-0.0026,0,0,0
25.1365,0.0005,1.02,-0.0026,0,0,0
25.14155,0.0005,1.02,-0.0026,0,0,0
25.1465,0.0005,1.02,-0.0026,0,0,0
25.1503,0.0005,1.02,-0.0026,0,0,0
25.1549,0.0005,1.02,-0.0026,0,0,0
25.15913,0.0005,1.02,-0.0026,0,0,0
25.16321,0.0005,1.02,-0.0026,0,0,0
25.16729,0.0005,1.02,-0.0026,0,0,0
25.17136,0.0005,1.02,-0.0026,0,0,0
25.17567,0.0005,1.02,-0.0026,0,0,0
25.17996,0.0005,1.02,-0.0026,0,0,0
25.18373,0.0005,1.02,-0.0026,0,0,0
25.18783,0.0005,1.02,-0.0026,0,0,0
25.19265,0.0005,1.02,-0.0026,0,0,0
25.19689,0.0005,1.02,-0.0026,0,0,0
25.20063,0.0005,1.02,-0.0026,0,0,0
25.2055,0.0005,1.02,-0.0026,0,0,0
25.20961,0.0005,1.02,-0.0026,0,0,0
25.21377,0.0005,1.02,-0.0026,0,0,0
25.218,0.0005,1.02,-0.0026,0,0,0
25.2218,0.0005,1.02,-0.0026,0,0,0
25.22612,0.0005,1.02,-0.0026,0,0,0
25.23015,0.0005,1.02,-0.0026,0,0,0
25.23472,0.0005,1.02,-0.0026,0,0,0
25.23874,0.0005,1.02,-0.0026,0,0,0
25.24252,0.0005,1.02,-0.0026,0,0,0
25.2471,0.0005,1.02,-0.0026,0,0,0
25.2515,0.0005,1.02,-0.0026,0,0,0
25.25555,0.0005,1.02,-0.0026,0,0,0
25.25965,0.0005,1.02,-0.0026,0,0,0
25.26357,0.0005,1.02,-0.0026,0,0,0
25.2676,0.0005,1.02,-0.0026,0,0,0
25.27149,0.0005,1.02,-0.0026,0,0,0
25.27567,0.0005,1.02,-0.0026,0,0,0
25.28065,0.0005,1.02,-0.0026,0,0,0
25.28497,0.0005,1.02,-0.0026,0,0,0
25.28902,0.0005,1.02,-0.0026,0,0,0
25.29302,0.0005,1.02,-0.0026,0,0,0
25.2974,0.0005,1.02,-0.0026,0,0,0
25.30184,0.0005,1.02,-0.0026,0,0,0
25.3061,0.0005,1.02,-0.0026,0,0,0
25.31006,0.0005,1.02,-0.0026,0,0,0
25.31429,0.0005,1.02,-0.0026,0,0,0
25.31819,0.0005,1.02,-0.0026,0,0,0
25.32213,0.0005,1.02,-0.0026,0,0,0
25.32647,0.0005,1.02,-0.0026,0,0,0
25.33069,0.0005,1.02,-0.0026,0,0,0
25.33491,0.0005,1.02,-0.0026,0,0,0
25.33894,0.0005,1.02,-0.0026,0,0,0
25.34296,0.0005,1.02,-0.0026,0,0,0
25.3475,0.0005,1.02,-0.0026,0,0,0
25.35169,0.0005,1.02,-0.0026,0,0,0
25.35564,0.0005,1.02,-0.0026,0,0,0
25.3597,0.0005,1.02,-0.0026,0,0,0
25.36402,0.0005,1.02,-0.0026,0,0,0
25.36852,0.0005,1.02,-0.0026,0,0,0
25.37264,0.0005,1.02,-0.0026,0,0,0
25.37671,0.0005,1.02,-0.0026,0,0,0
25.38083,0.0005,1.02,-0.0026,0,0,0
25.38548,0.0005,1.02,-0.0026,0,0,0
25.39343,0.0005,1.02,-0.0026,0,0,0
25.40061,0.0005,1.02,-0.0026,0,0,0
25.40484,0.0005,1.02,-0.0026,0,0,0
25.40849,0.0005,1.02,-0.0026,0,0,0
25.41267,0.0005,1.02,-0.0026,0,0,0
25.41647,0.0005,1.02,-0.0026,0,0,0
25.42029,0.0005,1.02,-0.0026,0,0,0
25.4247,0.0005,1.02,-0.0026,0,0,0
25.42887,0.0005,1.02,-0.0026,0,0,0
25.43261,0.0005,1.02,-0.0026,0,0,0
25.43659,0.0005,1.02,-0.0026,0,0,0
25.44032,0.0005,1.02,-0.0026,0,0,0
25.44451,0.0005,1.02,-0.0026,0,0,0
25.44861,0.0005,1.02,-0.0026,0,0,0
25.45237,0.0005,1.02,-0.0026,0,0,0
25.45607,0.0005,1.02,-0.0026,0,0,0
25.45987,0.0005,1.02,-0.0026,0,0,0
25.46453,0.0005,1.02,-0.0016,0,0,0
25.46911,0.0005,1.02,-0.0016,0,0,0
25.47289,0.0005,1.02,-0.0016,0,0,0
25.47676,0.0005,1.02,-0.0016,0,0,0
