time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
27.42552,-0.0016,1.02,-0.0132,0,0,0
27.43121,-0.0016,1.02,-0.0132,0,0,0
27.43558,-0.0016,1.02,-0.0132,0,0,0
27.43966,-0.0016,1.02,-0.0132,0,0,0
27.44377,-0.0016,1.02,-0.0132,0,0,0
27.44864,-0.0016,1.02,-0.0132,0,0,0
27.45275,-0.0016,1.02,-0.0132,0,0,0
27.45676,-0.0016,1.02,-0.0132,0,0,0
27.46089,-0.0016,1.02,-0.0132,0,0,0
27.46567,-0.0016,1.02,-0.0132,0,0,0
27.46945,-0.0016,1.02,-0.0132,0,0,0
27.47347,-0.0016,1.02,-0.0132,0,0,0
27.47751,-0.0016,1.02,-0.0132,0,0,0
27.48145,-0.0016,1.02,-0.0132,0,0,0
27.48561,-0.0016,1.02,-0.0132,0,0,0
27.48948,-0.0016,1.02,-0.0132,0,0,0
27.49326,-0.0016,1.02,-0.0132,0,0,0
27.49777,-0.0016,1.02,-0.0132,0,0,0
27.50179,-0.0016,1.02,-0.0132,0,0,0
27.50597,-0.0016,1.02,-0.0132,0,0,0
27.50975,-0.0016,1.02,-0.0132,0,0,0
27.51372,-0.0016,1.02,-0.0132,0,0,0
27.51777,-0.0016,1.02,-0.0132,0,0,0
27.522,-0.0016,1.02,-0.0132,0,0,0
27.52633,-0.0016,1.02,-0.0132,0,0,0
27.53085,-0.0016,1.02,-0.0132,0,0,0
27.53494,-0.0016,1.02,-0.0132,0,0,0
27.53893,-0.0016,1.02,-0.0132,0,0,0
27.54329,-0.0016,1.02,-0.0132,0,0,0
27.54812,-0.0016,1.02,-0.0132,0,0,0
27.55218,-0.0016,1.02,-0.0132,0,0,0
27.55628,-0.0016,1.02,-0.0132,0,0,0
27.56035,-0.0016,1.02,-0.0132,0,0,0
27.56491,-0.0016,1.02,-0.0132,0,0,0
27.56885,-0.0016,1.02,-0.0132,0,0,0
27.57289,-0.0016,1.02,-0.0132,0,0,0
27.57682,-0.0016,1.02,-0.0132,0,0,0
27.58124,-0.0016,1.02,-0.0132,0,0,0
27.58543,-0.0016,1.02,-0.0132,0,0,0
27.58918,-0.0016,1.02,-0.0132,0,0,0
27.59296,-0.0016,1.02,-0.0132,0,0,0
27.59727,-0.0016,1.02,-0.0132,0,0,0
27.60184,-0.0016,1.02,-0.0132,0,0,0
27.60615,-0.0016,1.02,-0.0132,0,0,0
27.61,-0.0016,1.02,-0.0132,0,0,0
27.61396,-0.0016,1.02,-0.0132,0,0,0
27.61813,-0.0016,1.02,-0.0132,0,0,0
27.62217,-0.0016,1.02,-0.0132,0,0,0
27.62682,-0.0016,1.02,-0.0132,0,0,0
27.63115,-0.0016,1.02,-0.0132,0,0,0
27.63512,-0.0016,1.02,-0.0132,0,0,0
27.63908,-0.0016,1.02,-0.0132,0,0,0
27.64271,-0.0016,1.02,-0.0132,0,0,0
27.64693,-0.0016,1.02,-0.0132,0,0,0
27.65148,-0.0016,1.02,-0.0132,0,0,0
27.65565,-0.0016,1.02,-0.0132,0,0,0
27.65944,-0.0016,1.02,-0.0132,0,0,0
27.66327,-0.0016,1.02,-0.0132,0,0,0
27.66761,-0.0016,1.02,-0.0132,0,0,0
27.67138,-0.0016,1.02,-0.0132,0,0,0
27.67543,-0.0016,1.02,-0.0132,0,0,0
27.67916,-0.0016,1.02,-0.0132,0,0,0
27.68333,-0.0016,1.02,-0.0132,0,0,0
27.68724,-0.0016,1.02,-0.0132,0,0,0
27.69081,-0.0016,1.02,-0.0132,0,0,0
27.6947,-0.0016,1.02,-0.0132,0,0,0
27.7,-0.0016,1.02,-0.0122,0,0,0
27.70461,-0.0016,1.02,-0.0122,0,0,0
27.70996,-0.0016,1.02,-0.0111,0,0,0
27.71653,-0.0016,1.02,-0.0101,0,0,0
27.72046,-0.0016,1.02,-0.0101,0,0,0
27.72496,-0.0016,1.02,-0.0101,0,0,0
27.72928,-0.0016,1.02,-0.009,0,0,0
27.73471,-0.0016,1.02,-0.009,0,0,0
27.73895,-0.0016,1.02,-0.009,0,0,0
27.74407,-0.0016,1.02,-0.0079,0,0,0
27.74859,-0.0016,1.02,-0.0079,0,0,0
27.75242,-0.0016,1.02,-0.0079,0,0,0
27.75637,-0.0016,1.02,-0.0079,0,0,0
27.76115,-0.0016,1.02,-0.0069,0,0,0
27.76593,-0.0016,1.02,-0.0069,0,0,0
27.77081,-0.0016,1.02,-0.0058,0,0,0
27.77501,-0.0016,1.02,-0.0058,0,0,0
27.77967,-0.0016,1.02,-0.0048,0,0,0
27.78432,-0.0016,1.02,-0.0048,0,0,0
27.78885,-0.0016,1.02,-0.0048,0,0,0
27.79381,-0.0016,1.02,-0.0037,0,0,0
27.79854,-0.0016,1.02,-0.0037,0,0,0
27.80276,-0.0016,1.02,-0.0037,0,0,0
27.8078,-0.0016,1.02,-0.0026,0,0,0
27.81252,-0.0016,1.02,-0.0016,0,0,0
27.81726,-0.0016,1.02,-0.0016,0,0,0
27.82181,-0.0016,1.02,-0.0005,0,0,0
27.82679,-0.0016,1.02,-0.0005,0,0,0
27.8353,-0.0016,1.02,0.0005,0,0,0
27.84271,-0.0016,1.02,0.0005,0,0,0
27.84678,-0.0016,1.02,0.0005,0,0,0
27.85159,-0.0026,1.02,0.0016,0,0,0
27.85608,-0.0026,1.02,0.0026,0,0,0
27.86039,-0.0026,1.02,0.0026,0,0,0
27.86531,-0.0026,1.02,0.0037,0,0,0
27.86951,-0.0026,1.02,0.0037,0,0,0
27.8739,-0.0037,1.02,0.0048,0,0,0
27.87882,-0.0037,1.02,0.0058,0,0,0
27.88436,-0.0037,1.02,0.0079,0,0,0
27.89045,-0.0037,1.02,0.0111,0,0,0
27.89574,-0.0048,1.02,0.0132,0,0,0
27.90146,-0.0048,1.02,0.0164,0,0,0
27.90647,-0.0048,1.02,0.0196,0,0,0
27.91169,-0.0048,1.02,0.0228,0,0,0
27.91668,-0.0048,1.02,0.0259,0,0,0
27.92139,-0.0048,1.02,0.0302,0,0,0
27.92722,-0.0048,1.02,0.0354,0,0,0
27.93274,-0.0048,1.02,0.0418,0,0,0
27.93915,-0.0048,1.02,0.0492,0,0,0
27.94506,-0.0048,1.02,0.0587,0,0,0
27.95184,-0.0048,1.02,0.0661,0,0,0
27.95966,-0.0037,1.02,0.0788,0,0,0
27.96798,-0.0037,1.02,0.0937,0,0,0
27.97371,-0.0026,1.02,0.1021,0,0,0
27.98053,-0.0026,1.02,0.1138,0,0,0
27.99123,-0.0026,1.02,0.1328,0,0,0
28.00071,-0.0026,1.02,0.1487,0,0,0
28.00681,-0.0026,1.02,0.1593,0,0,0
28.01231,-0.0026,1.02,0.1688,0,0,0
28.02488,-0.0026,1.02,0.1889,0,0,0
28.03151,-0.0026,1.02,0.2005,0,0,0
28.03711,-0.0026,1.02,0.209,0,0,0
28.04229,-0.0026,1.02,0.2175,0,0,0
28.0494,-0.0026,1.02,0.2259,0,0,0
28.05441,-0.0026,1.02,0.2312,0,0,0
28.0597,-0.0026,1.02,0.2386,0,0,0
