time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.98481,0.0079,1.02,0.0048,0,0,0
28.98954,0.0079,1.02,0.0048,0,0,0
28.99309,0.0079,1.02,0.0048,0,0,0
28.99669,0.0079,1.02,0.0048,0,0,0
29.00068,0.0079,1.02,0.0048,0,0,0
29.00452,0.0079,1.02,0.0048,0,0,0
29.00814,0.0079,1.02,0.0048,0,0,0
29.0116,0.0079,1.02,0.0048,0,0,0
29.01571,0.0079,1.02,0.0048,0,0,0
29.01937,0.0079,1.02,0.0048,0,0,0
29.02292,0.0079,1.02,0.0048,0,0,0
29.02681,0.0079,1.02,0.0048,0,0,0
29.03072,0.0079,1.02,0.0048,0,0,0
29.03443,0.0079,1.02,0.0048,0,0,0
29.03805,0.0079,1.02,0.0048,0,0,0
29.04167,0.0079,1.02,0.0048,0,0,0
29.04559,0.0079,1.02,0.0048,0,0,0
29.05003,0.0079,1.02,0.0048,0,0,0
29.05405,0.0079,1.02,0.0048,0,0,0
29.05784,0.0079,1.02,0.0048,0,0,0
29.06166,0.0079,1.02,0.0048,0,0,0
29.06658,0.0079,1.02,0.0048,0,0,0
29.07101,0.0079,1.02,0.0048,0,0,0
29.07478,0.0079,1.02,0.0048,0,0,0
29.07864,0.0079,1.02,0.0048,0,0,0
29.08312,0.0079,1.02,0.0048,0,0,0
29.08735,0.0079,1.02,0.0048,0,0,0
29.09122,0.0079,1.02,0.0048,0,0,0
29.09519,0.0079,1.02,0.0048,0,0,0
29.09963,0.0079,1.02,0.0048,0,0,0
29.10341,0.0079,1.02,0.0048,0,0,0
29.10733,0.0079,1.02,0.0048,0,0,0
29.11145,0.0079,1.02,0.0048,0,0,0
29.11552,0.0079,1.02,0.0048,0,0,0
29.11921,0.0079,1.02,0.0048,0,0,0
29.1228,0.0079,1.02,0.0048,0,0,0
29.12687,0.0079,1.02,0.0048,0,0,0
29.13084,0.0079,1.02,0.0048,0,0,0
29.13541,0.0079,1.02,0.0048,0,0,0
29.13923,0.0079,1.02,0.0048,0,0,0
29.14313,0.0079,1.02,0.0048,0,0,0
29.14747,0.0079,1.02,0.0048,0,0,0
29.15151,0.0079,1.02,0.0048,0,0,0
29.15605,0.0079,1.02,0.0048,0,0,0
29.15992,0.0079,1.02,0.0048,0,0,0
29.16424,0.0079,1.02,0.0048,0,0,0
29.16906,0.0079,1.02,0.0048,0,0,0
29.17311,0.0079,1.02,0.0048,0,0,0
29.1772,0.0079,1.02,0.0048,0,0,0
29.18122,0.0079,1.02,0.0048,0,0,0
29.18942,0.0079,1.02,0.0048,0,0,0
29.19443,0.0079,1.02,0.0048,0,0,0
29.20117,0.0079,1.02,0.0048,0,0,0
29.20677,0.0079,1.02,0.0048,0,0,0
29.21099,0.0079,1.02,0.0048,0,0,0
29.21602,0.0079,1.02,0.0048,0,0,0
29.22005,0.0079,1.02,0.0048,0,0,0
29.22454,0.0079,1.02,0.0048,0,0,0
29.22861,0.0079,1.02,0.0048,0,0,0
29.23318,0.0079,1.02,0.0048,0,0,0
29.23778,0.0079,1.02,0.0069,0,0,0
29.2425,0.0079,1.02,0.0079,0,0,0
29.24774,0.0079,1.02,0.0079,0,0,0
29.25257,0.0079,1.02,0.009,0,0,0
29.25671,0.0079,1.02,0.009,0,0,0
29.26082,0.0079,1.02,0.0101,0,0,0
29.26599,0.0079,1.02,0.0111,0,0,0
29.27073,0.0069,1.02,0.0122,0,0,0
29.27518,0.0069,1.02,0.0132,0,0,0
29.27967,0.0069,1.02,0.0132,0,0,0
29.2841,0.0069,1.02,0.0153,0,0,0
29.28902,0.0069,1.02,0.0153,0,0,0
29.29272,0.0069,1.02,0.0153,0,0,0
29.29695,0.0069,1.02,0.0164,0,0,0
29.30157,0.0069,1.02,0.0175,0,0,0
29.30642,0.0069,1.02,0.0175,0,0,0
29.31074,0.0069,1.02,0.0185,0,0,0
29.31564,0.0069,1.02,0.0196,0,0,0
29.32005,0.0069,1.02,0.0206,0,0,0
29.3255,0.0069,1.02,0.0206,0,0,0
29.33047,0.0069,1.02,0.0217,0,0,0
29.33613,0.0069,1.02,0.0238,0,0,0
29.3406,0.0069,1.02,0.0249,0,0,0
29.34607,0.0069,1.02,0.0259,0,0,0
29.35169,0.0069,1.02,0.028,0,0,0
29.35624,0.0069,1.02,0.0291,0,0,0
29.36225,0.0069,1.02,0.0302,0,0,0
29.36753,0.0069,1.02,0.0323,0,0,0
29.37267,0.0069,1.02,0.0333,0,0,0
29.37747,0.0069,1.02,0.0354,0,0,0
29.38325,0.0069,1.02,0.0386,0,0,0
29.38841,0.0069,1.02,0.0407,0,0,0
29.39318,0.0069,1.02,0.0429,0,0,0
29.39868,0.0069,1.02,0.046,0,0,0
29.40428,0.0069,1.02,0.0503,0,0,0
29.41007,0.0069,1.02,0.0534,0,0,0
29.41593,0.0069,1.02,0.0566,0,0,0
29.42145,0.0069,1.02,0.0619,0,0,0
29.42708,0.0069,1.02,0.0672,0,0,0
29.4327,0.0069,1.02,0.0725,0,0,0
29.43842,0.0069,1.02,0.0788,0,0,0
29.44421,0.0058,1.02,0.0862,0,0,0
29.45028,0.0058,1.02,0.0937,0,0,0
29.45543,0.0037,1.02,0.0989,0,0,0
29.46058,0.0026,1.02,0.1063,0,0,0
29.46673,0.0005,1.02,0.1138,0,0,0
29.47209,-0.0016,1.02,0.1212,0,0,0
29.47762,-0.0026,1.02,0.1265,0,0,0
29.48282,-0.0037,1.02,0.1317,0,0,0
29.49166,-0.0058,1.02,0.1413,0,0,0
29.49758,-0.0069,1.02,0.1466,0,0,0
29.50323,-0.009,1.02,0.1529,0,0,0
29.51352,-0.0111,1.02,0.1603,0,0,0
29.52292,-0.0132,1.02,0.1677,0,0,0
29.5294,-0.0132,1.02,0.173,0,0,0
29.53537,-0.0143,1.02,0.1772,0,0,0
29.5402,-0.0143,1.02,0.1794,0,0,0
29.54615,-0.0143,1.02,0.1836,0,0,0
29.55155,-0.0143,1.02,0.1868,0,0,0
29.55614,-0.0153,1.02,0.1889,0,0,0
29.56057,-0.0153,1.02,0.191,0,0,0
29.56661,-0.0153,1.02,0.1942,0,0,0
29.57106,-0.0153,1.02,0.1952,0,0,0
29.57561,-0.0153,1.02,0.1974,0,0,0
29.58023,-0.0153,1.02,0.1984,0,0,0
29.58543,-0.0153,1.02,0.2005,0,0,0
29.59552,-0.0153,1.02,0.2037,0,0,0
29.6009,-0.0153,1.02,0.2048,0,0,0
29.60632,-0.0153,1.02,0.2069,0,0,0
29.61074,-0.0153,1.02,0.2079,0,0,0
29.61535,-0.0153,1.02,0.209,0,0,0
29.62054,-0.0153,1.02,0.2101,0,0,0
29.62556,-0.0153,1.02,0.2111,0,0,0
29.63045,-0.0153,1.02,0.2122,0,0,0
29.63503,-0.0153,1.02,0.2132,0,0,0
29.63916,-0.0153,1.02,0.2132,0,0,0
