time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
23.14462,0.0037,1.02,0.0069,0,0,0
23.14949,0.0037,1.02,0.0069,0,0,0
23.15345,0.0037,1.02,0.0069,0,0,0
23.15765,0.0037,1.02,0.0069,0,0,0
23.16175,0.0037,1.02,0.0069,0,0,0
23.16586,0.0037,1.02,0.0069,0,0,0
23.16964,0.0037,1.02,0.0069,0,0,0
23.17364,0.0037,1.02,0.0069,0,0,0
23.17779,0.0037,1.02,0.0069,0,0,0
23.18156,0.0037,1.02,0.0069,0,0,0
23.18585,0.0037,1.02,0.0069,0,0,0
23.19028,0.0037,1.02,0.0069,0,0,0
23.19434,0.0037,1.02,0.0069,0,0,0
23.19834,0.0037,1.02,0.0069,0,0,0
23.20225,0.0037,1.02,0.0069,0,0,0
23.20641,0.0037,1.02,0.0069,0,0,0
23.21063,0.0037,1.02,0.0069,0,0,0
23.21496,0.0037,1.02,0.0069,0,0,0
23.21877,0.0037,1.02,0.0069,0,0,0
23.22266,0.0037,1.02,0.0069,0,0,0
23.22708,0.0037,1.02,0.0069,0,0,0
23.23095,0.0037,1.02,0.0069,0,0,0
23.23499,0.0037,1.02,0.0069,0,0,0
23.24136,0.0037,1.02,0.0069,0,0,0
23.24582,0.0037,1.02,0.0069,0,0,0
23.25019,0.0037,1.02,0.0069,0,0,0
23.25419,0.0037,1.02,0.0069,0,0,0
23.25815,0.0037,1.02,0.0069,0,0,0
23.26226,0.0037,1.02,0.0069,0,0,0
23.26654,0.0037,1.02,0.0069,0,0,0
23.27042,0.0037,1.02,0.0069,0,0,0
23.27431,0.0037,1.02,0.0069,0,0,0
23.27844,0.0037,1.02,0.0069,0,0,0
23.28206,0.0037,1.02,0.0069,0,0,0
23.28602,0.0037,1.02,0.0069,0,0,0
23.28979,0.0037,1.02,0.0069,0,0,0
23.29379,0.0037,1.02,0.0069,0,0,0
23.29789,0.0037,1.02,0.0069,0,0,0
23.30189,0.0037,1.02,0.0069,0,0,0
23.30618,0.0037,1.02,0.0069,0,0,0
23.31563,0.0037,1.02,0.0069,0,0,0
23.31924,0.0037,1.02,0.0069,0,0,0
23.32299,0.0037,1.02,0.0069,0,0,0
23.32827,0.0037,1.02,0.0069,0,0,0
23.33208,0.0037,1.02,0.0069,0,0,0
23.33605,0.0037,1.02,0.0069,0,0,0
23.34059,0.0037,1.02,0.0069,0,0,0
23.34561,0.0037,1.02,0.0069,0,0,0
23.34943,0.0037,1.02,0.0069,0,0,0
23.35331,0.0037,1.02,0.0069,0,0,0
23.35732,0.0037,1.02,0.0069,0,0,0
23.36247,0.0037,1.02,0.0069,0,0,0
23.36714,0.0037,1.02,0.0069,0,0,0
23.37074,0.0037,1.02,0.0069,0,0,0
23.37462,0.0037,1.02,0.0069,0,0,0
23.37863,0.0037,1.02,0.0069,0,0,0
23.38256,0.0037,1.02,0.0069,0,0,0
23.38652,0.0037,1.02,0.0069,0,0,0
23.39109,0.0037,1.02,0.0069,0,0,0
23.39494,0.0037,1.02,0.0069,0,0,0
23.39861,0.0037,1.02,0.0069,0,0,0
23.40271,0.0037,1.02,0.0069,0,0,0
23.40687,0.0037,1.02,0.0069,0,0,0
23.41076,0.0037,1.02,0.0069,0,0,0
23.4143,0.0037,1.02,0.0069,0,0,0
23.41823,0.0037,1.02,0.0069,0,0,0
23.42192,0.0037,1.02,0.0069,0,0,0
23.42624,0.0037,1.02,0.0069,0,0,0
23.43017,0.0037,1.02,0.0069,0,0,0
23.43389,0.0037,1.02,0.0069,0,0,0
23.43765,0.0037,1.02,0.0069,0,0,0
23.44136,0.0037,1.02,0.0069,0,0,0
23.4457,0.0037,1.02,0.0069,0,0,0
23.44962,0.0037,1.02,0.0069,0,0,0
23.45375,0.0037,1.02,0.0069,0,0,0
23.45762,0.0037,1.02,0.0069,0,0,0
23.46169,0.0037,1.02,0.0069,0,0,0
23.46591,0.0037,1.02,0.0069,0,0,0
23.47014,0.0037,1.02,0.0069,0,0,0
23.47429,0.0037,1.02,0.0069,0,0,0
23.47835,0.0037,1.02,0.0069,0,0,0
23.48199,0.0037,1.02,0.0069,0,0,0
23.48601,0.0037,1.02,0.0069,0,0,0
23.48988,0.0037,1.02,0.0069,0,0,0
23.4943,0.0037,1.02,0.0069,0,0,0
23.49821,0.0037,1.02,0.0069,0,0,0
23.50185,0.0037,1.02,0.0069,0,0,0
23.50601,0.0037,1.02,0.0069,0,0,0
23.50991,0.0037,1.02,0.0069,0,0,0
23.51395,0.0037,1.02,0.0069,0,0,0
23.51782,0.0037,1.02,0.0069,0,0,0
23.52147,0.0037,1.02,0.0069,0,0,0
23.52581,0.0037,1.02,0.0069,0,0,0
23.52975,0.0037,1.02,0.0069,0,0,0
23.5334,0.0037,1.02,0.0069,0,0,0
23.53729,0.0037,1.02,0.0069,0,0,0
23.54127,0.0037,1.02,0.0069,0,0,0
23.54585,0.0037,1.02,0.0069,0,0,0
23.54984,0.0037,1.02,0.0069,0,0,0
23.55419,0.0037,1.02,0.0069,0,0,0
23.55966,0.0037,1.02,0.0069,0,0,0
23.56352,0.0037,1.02,0.0069,0,0,0
23.56755,0.0037,1.02,0.0069,0,0,0
23.57118,0.0037,1.02,0.0069,0,0,0
23.57492,0.0037,1.02,0.0069,0,0,0
23.57896,0.0037,1.02,0.0069,0,0,0
23.58279,0.0037,1.02,0.0069,0,0,0
23.58691,0.0037,1.02,0.0069,0,0,0
23.59091,0.0037,1.02,0.0069,0,0,0
23.59572,0.0037,1.02,0.0069,0,0,0
23.60031,0.0037,1.02,0.0069,0,0,0
23.60422,0.0037,1.02,0.0069,0,0,0
23.60832,0.0037,1.02,0.0069,0,0,0
23.61246,0.0037,1.02,0.0069,0,0,0
23.61627,0.0037,1.02,0.0069,0,0,0
23.61999,0.0037,1.02,0.0069,0,0,0
23.6238,0.0037,1.02,0.0069,0,0,0
23.62813,0.0037,1.02,0.0069,0,0,0
23.63177,0.0037,1.02,0.0069,0,0,0
23.63581,0.0037,1.02,0.0069,0,0,0
