time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
32.44672,0.0079,1.02,-0.0026,0,0,0
32.45212,0.0079,1.02,-0.0026,0,0,0
32.456,0.0079,1.02,-0.0026,0,0,0
32.45985,0.0079,1.02,-0.0026,0,0,0
32.46383,0.0079,1.02,-0.0026,0,0,0
32.46793,0.0079,1.02,-0.0026,0,0,0
32.47208,0.0079,1.02,-0.0026,0,0,0
32.47581,0.0079,1.02,-0.0026,0,0,0
32.47957,0.0079,1.02,-0.0026,0,0,0
32.48333,0.0079,1.02,-0.0026,0,0,0
32.48794,0.0079,1.02,-0.0026,0,0,0
32.49154,0.0079,1.02,-0.0026,0,0,0
32.49533,0.0079,1.02,-0.0026,0,0,0
32.49948,0.0079,1.02,-0.0026,0,0,0
32.50368,0.0079,1.02,-0.0026,0,0,0
32.50775,0.0079,1.02,-0.0026,0,0,0
32.51151,0.0079,1.02,-0.0026,0,0,0
32.51561,0.0079,1.02,-0.0026,0,0,0
32.5198,0.0079,1.02,-0.0026,0,0,0
32.52348,0.0079,1.02,-0.0026,0,0,0
32.52822,0.0079,1.02,-0.0026,0,0,0
32.53214,0.0079,1.02,-0.0026,0,0,0
32.53643,0.0079,1.02,-0.0026,0,0,0
32.54012,0.0079,1.02,-0.0026,0,0,0
32.54425,0.0079,1.02,-0.0026,0,0,0
32.54794,0.0079,1.02,-0.0026,0,0,0
32.5523,0.0079,1.02,-0.0026,0,0,0
32.55634,0.0079,1.02,-0.0026,0,0,0
32.56042,0.0079,1.02,-0.0026,0,0,0
32.56455,0.0079,1.02,-0.0026,0,0,0
32.5686,0.0079,1.02,-0.0026,0,0,0
32.5726,0.0079,1.02,-0.0026,0,0,0
32.57654,0.0079,1.02,-0.0026,0,0,0
32.58041,0.0079,1.02,-0.0026,0,0,0
32.58446,0.0079,1.02,-0.0026,0,0,0
32.58857,0.0079,1.02,-0.0026,0,0,0
32.59269,0.0079,1.02,-0.0026,0,0,0
32.59688,0.0079,1.02,-0.0026,0,0,0
32.60225,0.0079,1.02,-0.0026,0,0,0
32.60668,0.0079,1.02,-0.0026,0,0,0
32.61029,0.0079,1.02,-0.0026,0,0,0
32.61402,0.0079,1.02,-0.0026,0,0,0
32.61787,0.0079,1.02,-0.0026,0,0,0
32.62185,0.0079,1.02,-0.0026,0,0,0
32.62615,0.0079,1.02,-0.0026,0,0,0
32.63015,0.0079,1.02,-0.0026,0,0,0
32.63391,0.0079,1.02,-0.0026,0,0,0
32.63789,0.0079,1.02,-0.0026,0,0,0
32.64196,0.0079,1.02,-0.0026,0,0,0
32.64611,0.0079,1.02,-0.0026,0,0,0
32.65025,0.0079,1.02,-0.0026,0,0,0
32.65499,0.0079,1.02,-0.0026,0,0,0
32.65886,0.0079,1.02,-0.0026,0,0,0
32.66252,0.0079,1.02,-0.0026,0,0,0
32.66657,0.0079,1.02,-0.0026,0,0,0
32.67043,0.0079,1.02,-0.0026,0,0,0
32.67394,0.0079,1.02,-0.0026,0,0,0
32.67749,0.0079,1.02,-0.0026,0,0,0
32.68114,0.0079,1.02,-0.0026,0,0,0
32.68545,0.0079,1.02,-0.0026,0,0,0
32.68933,0.0079,1.02,-0.0026,0,0,0
32.69325,0.0079,1.02,-0.0026,0,0,0
32.69685,0.0079,1.02,-0.0026,0,0,0
32.7006,0.0079,1.02,-0.0026,0,0,0
32.70543,0.0079,1.02,-0.0026,0,0,0
32.7096,0.0079,1.02,-0.0026,0,0,0
32.71495,0.0079,1.02,-0.0026,0,0,0
32.71943,0.0079,1.02,-0.0026,0,0,0
32.72327,0.0079,1.02,-0.0026,0,0,0
32.72732,0.0079,1.02,-0.0026,0,0,0
32.73092,0.0079,1.02,-0.0026,0,0,0
32.73503,0.0079,1.02,-0.0026,0,0,0
32.73906,0.0079,1.02,-0.0026,0,0,0
32.74268,0.0079,1.02,-0.0026,0,0,0
32.74665,0.0079,1.02,-0.0026,0,0,0
32.75044,0.0079,1.02,-0.0026,0,0,0
32.75426,0.0079,1.02,-0.0026,0,0,0
32.75788,0.0079,1.02,-0.0026,0,0,0
32.76182,0.0079,1.02,-0.0026,0,0,0
32.76584,0.0079,1.02,-0.0026,0,0,0
32.77011,0.0079,1.02,-0.0026,0,0,0
32.7738,0.0079,1.02,-0.0026,0,0,0
32.77753,0.0079,1.02,-0.0026,0,0,0
32.78176,0.0079,1.02,-0.0026,0,0,0
32.78578,0.0079,1.02,-0.0026,0,0,0
32.78952,0.0079,1.02,-0.0026,0,0,0
32.79318,0.0079,1.02,-0.0026,0,0,0
32.7968,0.0079,1.02,-0.0026,0,0,0
32.80046,0.0079,1.02,-0.0026,0,0,0
32.80463,0.0079,1.02,-0.0026,0,0,0
32.80848,0.0079,1.02,-0.0026,0,0,0
32.81243,0.0079,1.02,-0.0026,0,0,0
32.8217,0.0079,1.02,-0.0026,0,0,0
32.826,0.0079,1.02,-0.0026,0,0,0
32.8298,0.0079,1.02,-0.0026,0,0,0
32.83394,0.0079,1.02,-0.0026,0,0,0
32.83812,0.0079,1.02,-0.0026,0,0,0
32.8434,0.0079,1.02,-0.0026,0,0,0
32.84877,0.0079,1.02,-0.0016,0,0,0
32.85292,0.0079,1.02,-0.0016,0,0,0
32.85692,0.0079,1.02,-0.0016,0,0,0
32.86046,0.0079,1.02,-0.0016,0,0,0
32.86485,0.0079,1.02,-0.0005,0,0,0
32.86921,0.0079,1.02,0.0005,0,0,0
32.87354,0.0079,1.02,0.0005,0,0,0
32.87753,0.0079,1.02,0.0016,0,0,0
32.88196,0.0079,1.02,0.0026,0,0,0
32.88706,0.0079,1.02,0.0048,0,0,0
32.89132,0.0079,1.02,0.0048,0,0,0
32.89548,0.0079,1.02,0.0058,0,0,0
32.90006,0.0079,1.02,0.0079,0,0,0
32.90638,0.0079,1.02,0.0101,0,0,0
32.91072,0.0079,1.02,0.0101,0,0,0
32.91542,0.0079,1.02,0.0122,0,0,0
